data,total
2009-01-01,423
2009-01-02,435
2009-01-03,416
2009-01-04,380
2009-01-05,446
2009-01-06,408
2009-01-07,391
2009-01-08,404
2009-01-09,373
2009-01-10,382
2009-01-11,448
2009-01-12,429
2009-01-13,417
2009-01-14,386
2009-01-15,402
2009-01-16,419
2009-01-17,372
2009-01-18,396
2009-01-19,429
2009-01-20,391
2009-01-21,392
2009-01-22,368
2009-01-23,386
2009-01-24,364
2009-01-25,369
2009-01-26,368
2009-01-27,370
2009-01-28,352
2009-01-29,368
2009-01-30,336
2009-01-31,317
2009-02-01,356
2009-02-02,381
2009-02-03,355
2009-02-04,311
2009-02-05,333
2009-02-06,356
2009-02-07,294
2009-02-08,327
2009-02-09,391
2009-02-10,335
2009-02-11,369
2009-02-12,350
2009-02-13,355
2009-02-14,313
2009-02-15,338
2009-02-16,346
2009-02-17,348
2009-02-18,317
2009-02-19,285
2009-02-20,321
2009-02-21,316
2009-02-22,311
2009-02-23,358
2009-02-24,356
2009-02-25,359
2009-02-26,364
2009-02-27,358
2009-02-28,324
2009-03-01,347
2009-03-02,328
2009-03-03,327
2009-03-04,304
2009-03-05,323
2009-03-06,331
2009-03-07,299
2009-03-08,297
2009-03-09,347
2009-03-10,294
2009-03-11,313
2009-03-12,300
2009-03-13,342
2009-03-14,302
2009-03-15,330
2009-03-16,315
2009-03-17,294
2009-03-18,308
2009-03-19,289
2009-03-20,300
2009-03-21,282
2009-03-22,279
2009-03-23,306
2009-03-24,308
2009-03-25,284
2009-03-26,280
2009-03-27,277
2009-03-28,275
2009-03-29,255
2009-03-30,282
2009-03-31,268
2009-04-01,286
2009-04-02,285
2009-04-03,294
2009-04-04,272
2009-04-05,268
2009-04-06,286
2009-04-07,283
2009-04-08,294
2009-04-09,279
2009-04-10,257
2009-04-11,286
2009-04-12,255
2009-04-13,301
2009-04-14,296
2009-04-15,287
2009-04-16,248
2009-04-17,288
2009-04-18,298
2009-04-19,266
2009-04-20,277
2009-04-21,298
2009-04-22,285
2009-04-23,299
2009-04-24,315
2009-04-25,274
2009-04-26,272
2009-04-27,265
2009-04-28,315
2009-04-29,298
2009-04-30,264
2009-05-01,240
2009-05-02,265
2009-05-03,280
2009-05-04,301
2009-05-05,301
2009-05-06,291
2009-05-07,258
2009-05-08,252
2009-05-09,272
2009-05-10,261
2009-05-11,264
2009-05-12,285
2009-05-13,260
2009-05-14,241
2009-05-15,253
2009-05-16,266
2009-05-17,237
2009-05-18,256
2009-05-19,287
2009-05-20,267
2009-05-21,242
2009-05-22,272
2009-05-23,283
2009-05-24,270
2009-05-25,246
2009-05-26,263
2009-05-27,240
2009-05-28,255
2009-05-29,284
2009-05-30,262
2009-05-31,300
2009-06-01,301
2009-06-02,271
2009-06-03,270
2009-06-04,254
2009-06-05,248
2009-06-06,249
2009-06-07,233
2009-06-08,256
2009-06-09,228
2009-06-10,214
2009-06-11,239
2009-06-12,237
