data,Distrito,Óbitos
2021-01-01,Aveiro,18
2021-01-02,Aveiro,36
2021-01-03,Aveiro,27
2021-01-01,Beja,10
2021-01-02,Beja,14
2021-01-03,Beja,14
2021-01-01,Braga,33
2021-01-02,Braga,17
2021-01-03,Braga,28
2021-01-01,Bragança,11
2021-01-02,Bragança,4
2021-01-03,Bragança,5
2021-01-01,Castelo Branco,13
2021-01-02,Castelo Branco,9
2021-01-03,Castelo Branco,13
2021-01-01,Coimbra,19
2021-01-02,Coimbra,16
2021-01-03,Coimbra,28
2021-01-01,Desconhecido,7
2021-01-02,Desconhecido,4
2021-01-03,Desconhecido,4
2021-01-01,Estrangeiro,1
2021-01-02,Estrangeiro,0
2021-01-03,Estrangeiro,1
2021-01-01,Faro,15
2021-01-02,Faro,17
2021-01-03,Faro,15
2021-01-01,Guarda,6
2021-01-02,Guarda,8
2021-01-03,Guarda,9
2021-01-01,Ilha Terceira,1
2021-01-02,Ilha Terceira,2
2021-01-03,Ilha Terceira,0
2021-01-01,Ilha da Graciosa,0
2021-01-02,Ilha da Graciosa,0
2021-01-03,Ilha da Graciosa,0
2021-01-01,Ilha da Madeira,6
2021-01-02,Ilha da Madeira,7
2021-01-03,Ilha da Madeira,6
2021-01-01,Ilha das Flores,0
2021-01-02,Ilha das Flores,0
2021-01-03,Ilha das Flores,0
2021-01-01,Ilha de Porto Santo,0
2021-01-02,Ilha de Porto Santo,1
2021-01-03,Ilha de Porto Santo,0
2021-01-01,Ilha de Santa Maria,0
2021-01-02,Ilha de Santa Maria,0
2021-01-03,Ilha de Santa Maria,0
2021-01-01,Ilha de São Jorge,0
2021-01-02,Ilha de São Jorge,0
2021-01-03,Ilha de São Jorge,0
2021-01-01,Ilha de São Miguel,3
2021-01-02,Ilha de São Miguel,6
2021-01-03,Ilha de São Miguel,3
2021-01-01,Ilha do Corvo,1
2021-01-02,Ilha do Corvo,0
2021-01-03,Ilha do Corvo,0
2021-01-01,Ilha do Faial,2
2021-01-02,Ilha do Faial,0
2021-01-03,Ilha do Faial,1
2021-01-01,Ilha do Pico,0
2021-01-02,Ilha do Pico,0
2021-01-03,Ilha do Pico,0
2021-01-01,Leiria,28
2021-01-02,Leiria,8
2021-01-03,Leiria,23
2021-01-01,Lisboa,102
2021-01-02,Lisboa,93
2021-01-03,Lisboa,81
2021-01-01,Portalegre,6
2021-01-02,Portalegre,7
2021-01-03,Portalegre,6
2021-01-01,Porto,46
2021-01-02,Porto,42
2021-01-03,Porto,51
2021-01-01,Santarém,19
2021-01-02,Santarém,16
2021-01-03,Santarém,27
2021-01-01,Setúbal,33
2021-01-02,Setúbal,28
2021-01-03,Setúbal,35
2021-01-01,Viana do Castelo,11
2021-01-02,Viana do Castelo,9
2021-01-03,Viana do Castelo,8
2021-01-01,Vila Real,13
2021-01-02,Vila Real,14
2021-01-03,Vila Real,6
2021-01-01,Viseu,16
2021-01-02,Viseu,14
2021-01-03,Viseu,20
2021-01-01,Évora,12
2021-01-02,Évora,7
2021-01-03,Évora,13
