data,local,total
2021-01-01,Desconhecido,1
2021-01-02,Desconhecido,2
2021-01-03,Desconhecido,0
2021-01-04,Desconhecido,4
2021-01-05,Desconhecido,1
2021-01-01,Na Instituic?o de Saude,286
2021-01-02,Na Instituic?o de Saude,255
2021-01-03,Na Instituic?o de Saude,298
2021-01-04,Na Instituic?o de Saude,287
2021-01-05,Na Instituic?o de Saude,310
2021-01-01,No domicilio,116
2021-01-02,No domicilio,90
2021-01-03,No domicilio,89
2021-01-04,No domicilio,120
2021-01-05,No domicilio,105
2021-01-01,Outro local,55
2021-01-02,Outro local,63
2021-01-03,Outro local,65
2021-01-04,Outro local,53
2021-01-05,Outro local,64
